 
****************************************
Report : area
Design : enigma
Version: R-2020.09-SP5
Date   : Mon Oct 20 13:36:29 2025
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /usr/cadtool/GPDK45/gsclib045_svt_v4.4/gsclib045/db/slow_vdd1v2_basicCells_wl.db)

Number of ports:                          455
Number of nets:                          8185
Number of cells:                         7834
Number of combinational cells:           6568
Number of sequential cells:              1165
Number of macros/black boxes:               0
Number of buf/inv:                       1157
Number of references:                     180

Combinational area:              11282.580252
Buf/Inv area:                     1008.900023
Noncombinational area:            6399.846143
Macro/Black Box area:                0.000000
Net Interconnect area:               0.000000

Total cell area:                 17682.426394
Total area:                      17682.426394

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ----------------------------- 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-  Black-
                                  Total       Total    national    national   boxes   Design
clk_gate_RotorB_reg_reg_62_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_38
clk_gate_RotorB_reg_reg_63_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_39
clk_gate_RotorB_reg_reg_7_            6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_5
clk_gate_RotorB_reg_reg_8_            6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_6
clk_gate_link_reg_10_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_47
clk_gate_link_reg_12_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_48
clk_gate_link_reg_13_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_49
clk_gate_link_reg_15_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_50
clk_gate_link_reg_17_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_51
clk_gate_link_reg_18_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_52
clk_gate_link_reg_1_                  6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_41
clk_gate_link_reg_20_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_53
clk_gate_link_reg_22_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_54
clk_gate_link_reg_23_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_55
clk_gate_link_reg_25_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_56
clk_gate_link_reg_27_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_57
clk_gate_link_reg_28_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_58
clk_gate_link_reg_2_                  6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_42
clk_gate_link_reg_30_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_59
clk_gate_link_reg_32_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_60
clk_gate_link_reg_33_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_61
clk_gate_link_reg_35_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_62
clk_gate_link_reg_37_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_63
clk_gate_link_reg_38_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_64
clk_gate_link_reg_40_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_65
clk_gate_link_reg_42_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_66
clk_gate_link_reg_43_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_67
clk_gate_link_reg_45_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_68
clk_gate_link_reg_47_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_69
