 
****************************************
Report : area
Design : fir1_parallel
Version: R-2020.09-SP5
Date   : Sat Oct 25 17:14:57 2025
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /usr/cadtool/GPDK45/gsclib045_svt_v4.4/gsclib045/db/slow_vdd1v2_basicCells_wl.db)

Number of ports:                          301
Number of nets:                          8856
Number of cells:                         5782
Number of combinational cells:           5083
Number of sequential cells:               643
Number of macros/black boxes:               0
Number of buf/inv:                        779
Number of references:                     113

Combinational area:              19407.132433
Buf/Inv area:                      610.128014
Noncombinational area:            4132.728092
Macro/Black Box area:                0.000000
Net Interconnect area:               0.000000

Total cell area:                 23539.860525
Total area:                      23539.860525

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ----------------------------- 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-  Black-
                                  Total       Total    national    national   boxes   Design
clk_gate_pipe2_reg_2__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_22
clk_gate_pipe2_reg_2__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_21
clk_gate_pipe2_reg_2__2               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_20
clk_gate_pipe2_reg_3_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_19
clk_gate_pipe2_reg_3__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_18
clk_gate_pipe2_reg_3__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_17
clk_gate_pipe2_reg_4_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_16
clk_gate_pipe2_reg_4__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_15
clk_gate_pipe2_reg_4__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_14
clk_gate_pipe2_reg_5_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_13
clk_gate_pipe2_reg_5__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_12
clk_gate_pipe2_reg_5__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_11
clk_gate_pipe2_reg_6_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_10
clk_gate_pipe2_reg_6__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_9
clk_gate_pipe2_reg_6__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_8
clk_gate_pipe2_reg_7_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_7
