 
****************************************
Report : resources
Design : ViT_top
Version: R-2020.09-SP5
Date   : Thu Nov 20 18:19:08 2025
****************************************


Resource Report for this hierarchy in file ../hdl/ViT_top.v
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
|                      | mult_1318_I3 (ViT_top.v:1318)                       |
|                      | mult_1318_I4 (ViT_top.v:1318)                       |
|                      | mult_1318_I5 (ViT_top.v:1318)                       |
|                      | mult_1318_I6 (ViT_top.v:1318)                       |
|                      | mult_1318_I7 (ViT_top.v:1318)                       |
|                      | mult_1318_I8 (ViT_top.v:1318)                       |
|                      | add_1375 (ViT_top.v:1375)                           |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 10    |                                          |
| I4    | PI   | Signed   | 10    |                                          |
| I5    | PI   | Signed   | 10    |                                          |
| I6    | PI   | Signed   | 10    |                                          |
| I7    | PI   | Signed   | 10    |                                          |
| I8    | PI   | Signed   | 10    |                                          |
| I9    | PI   | Signed   | 10    |                                          |
| I10   | PI   | Signed   | 10    |                                          |
| I11   | PI   | Signed   | 10    |                                          |
| I12   | PI   | Signed   | 10    |                                          |
| I13   | PI   | Signed   | 10    |                                          |
| I14   | PI   | Signed   | 10    |                                          |
| I15   | PI   | Signed   | 10    |                                          |
| I16   | PI   | Signed   | 10    |                                          |
| I17   | PI   | Signed   | 20    |                                          |
| T312  | IFO  | Signed   | 20    | I1 * I2 (ViT_top.v:1318)                 |
| T316  | IFO  | Signed   | 20    | I3 * I4 (ViT_top.v:1318)                 |
| T320  | IFO  | Signed   | 20    | I5 * I6 (ViT_top.v:1318)                 |
| T324  | IFO  | Signed   | 20    | I7 * I8 (ViT_top.v:1318)                 |
| T328  | IFO  | Signed   | 20    | I9 * I10 (ViT_top.v:1318)                |
| T332  | IFO  | Signed   | 20    | I11 * I12 (ViT_top.v:1318)               |
| T336  | IFO  | Signed   | 20    | I13 * I14 (ViT_top.v:1318)               |
| T340  | IFO  | Signed   | 20    | I15 * I16 (ViT_top.v:1318)               |
| O1    | PO   | Unsigned | 20    | T312 + T316 + T320 + T324 + T328 + T332 + T336 + T340 (ViT_top.v:1333) |
| O2    | PO   | Unsigned | 20    | O1 + I17 (ViT_top.v:1375)                |
==============================================================================

Datapath Report for DP_OP_1068J1_126_5797
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_1068J1_126_5797 | mult_1319 (ViT_top.v:1319)                         |
|                      | add_1338 (ViT_top.v:1338)                           |
|                      | add_1338_2 (ViT_top.v:1338)                         |
|                      | add_1338_3 (ViT_top.v:1338)                         |
|                      | add_1338_4 (ViT_top.v:1338)                         |
|                      | add_1338_5 (ViT_top.v:1338)                         |
|                      | add_1338_6 (ViT_top.v:1338)                         |
|                      | add_1338_7 (ViT_top.v:1338)                         |
|                      | mult_1319_I2 (ViT_top.v:1319)                       |
|                      | mult_1319_I3 (ViT_top.v:1319)                       |
|                      | mult_1319_I4 (ViT_top.v:1319)                       |
|                      | mult_1319_I5 (ViT_top.v:1319)                       |
|                      | mult_1319_I6 (ViT_top.v:1319)                       |
|                      | mult_1319_I7 (ViT_top.v:1319)                       |
|                      | mult_1319_I8 (ViT_top.v:1319)                       |
|                      | add_1376 (ViT_top.v:1376)                           |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 10    |                                          |
| I4    | PI   | Signed   | 10    |                                          |
| I5    | PI   | Signed   | 10    |                                          |
| I6    | PI   | Signed   | 10    |                                          |
| I7    | PI   | Signed   | 10    |                                          |
| I8    | PI   | Signed   | 10    |                                          |
| I9    | PI   | Signed   | 10    |                                          |
| I10   | PI   | Signed   | 10    |                                          |
| I11   | PI   | Signed   | 10    |                                          |
| I12   | PI   | Signed   | 10    |                                          |
| I13   | PI   | Signed   | 10    |                                          |
| I14   | PI   | Signed   | 10    |                                          |
| I15   | PI   | Signed   | 10    |                                          |
| I16   | PI   | Signed   | 10    |                                          |
| I17   | PI   | Signed   | 20    |                                          |
| T313  | IFO  | Signed   | 20    | I1 * I2 (ViT_top.v:1319)                 |
| T317  | IFO  | Signed   | 20    | I3 * I4 (ViT_top.v:1319)                 |
| T321  | IFO  | Signed   | 20    | I5 * I6 (ViT_top.v:1319)                 |
| T325  | IFO  | Signed   | 20    | I7 * I8 (ViT_top.v:1319)                 |
| T329  | IFO  | Signed   | 20    | I9 * I10 (ViT_top.v:1319)                |
| T333  | IFO  | Signed   | 20    | I11 * I12 (ViT_top.v:1319)               |
| T337  | IFO  | Signed   | 20    | I13 * I14 (ViT_top.v:1319)               |
| T341  | IFO  | Signed   | 20    | I15 * I16 (ViT_top.v:1319)               |
| O1    | PO   | Unsigned | 20    | T313 + T317 + T321 + T325 + T329 + T333 + T337 + T341 (ViT_top.v:1338) |
| O2    | PO   | Unsigned | 20    | O1 + I17 (ViT_top.v:1376)                |
==============================================================================

Datapath Report for DP_OP_1069J1_127_5797
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_1069J1_127_5797 | mult_1320 (ViT_top.v:1320)                         |
|                      | add_1343 (ViT_top.v:1343)                           |
|                      | add_1343_2 (ViT_top.v:1343)                         |
|                      | add_1343_3 (ViT_top.v:1343)                         |
|                      | add_1343_4 (ViT_top.v:1343)                         |
|                      | add_1343_5 (ViT_top.v:1343)                         |
|                      | add_1343_6 (ViT_top.v:1343)                         |
|                      | add_1343_7 (ViT_top.v:1343)                         |
|                      | mult_1320_I2 (ViT_top.v:1320)                       |
|                      | mult_1320_I3 (ViT_top.v:1320)                       |
|                      | mult_1320_I4 (ViT_top.v:1320)                       |
|                      | mult_1320_I5 (ViT_top.v:1320)                       |
|                      | mult_1320_I6 (ViT_top.v:1320)                       |
|                      | mult_1320_I7 (ViT_top.v:1320)                       |
|                      | mult_1320_I8 (ViT_top.v:1320)                       |
|                      | add_1377 (ViT_top.v:1377)                           |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 10    |                                          |
| I4    | PI   | Signed   | 10    |                                          |
| I5    | PI   | Signed   | 10    |                                          |
| I6    | PI   | Signed   | 10    |                                          |
| I7    | PI   | Signed   | 10    |                                          |
| I8    | PI   | Signed   | 10    |                                          |
| I9    | PI   | Signed   | 10    |                                          |
| I10   | PI   | Signed   | 10    |                                          |
| I11   | PI   | Signed   | 10    |                                          |
| I12   | PI   | Signed   | 10    |                                          |
| I13   | PI   | Signed   | 10    |                                          |
| I14   | PI   | Signed   | 10    |                                          |
| I15   | PI   | Signed   | 10    |                                          |
| I16   | PI   | Signed   | 10    |                                          |
| I17   | PI   | Signed   | 20    |                                          |
| T314  | IFO  | Signed   | 20    | I1 * I2 (ViT_top.v:1320)                 |
| T318  | IFO  | Signed   | 20    | I3 * I4 (ViT_top.v:1320)                 |
| T322  | IFO  | Signed   | 20    | I5 * I6 (ViT_top.v:1320)                 |
| T326  | IFO  | Signed   | 20    | I7 * I8 (ViT_top.v:1320)                 |
| T330  | IFO  | Signed   | 20    | I9 * I10 (ViT_top.v:1320)                |
| T334  | IFO  | Signed   | 20    | I11 * I12 (ViT_top.v:1320)               |
| T338  | IFO  | Signed   | 20    | I13 * I14 (ViT_top.v:1320)               |
| T342  | IFO  | Signed   | 20    | I15 * I16 (ViT_top.v:1320)               |
| O1    | PO   | Unsigned | 20    | T314 + T318 + T322 + T326 + T330 + T334 + T338 + T342 (ViT_top.v:1343) |
| O2    | PO   | Unsigned | 20    | O1 + I17 (ViT_top.v:1377)                |
==============================================================================

Datapath Report for DP_OP_195_151_8708
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_195_151_8708   | mult_951_I8 (ViT_top.v:951)                         |
|                      | mult_953_I8 (ViT_top.v:953)                         |
|                      | add_965_I8 (ViT_top.v:965)                          |
|                      | add_967_3_I8 (ViT_top.v:967)                        |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 16    |                                          |
| T183  | IFO  | Signed   | 20    | I1 * I2 ( ViT_top.v:951 ViT_top.v:953 )  |
| O1    | PO   | Signed   | 20    | T183 + I3 ( ViT_top.v:965 ViT_top.v:967 ) |
==============================================================================

Datapath Report for DP_OP_194_150_9357
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_194_150_9357   | mult_951_I7 (ViT_top.v:951)                         |
|                      | mult_953_I7 (ViT_top.v:953)                         |
|                      | add_965_I7 (ViT_top.v:965)                          |
|                      | add_967_3_I7 (ViT_top.v:967)                        |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 16    |                                          |
| T182  | IFO  | Signed   | 20    | I1 * I2 ( ViT_top.v:951 ViT_top.v:953 )  |
| O1    | PO   | Signed   | 20    | T182 + I3 ( ViT_top.v:965 ViT_top.v:967 ) |
==============================================================================

Datapath Report for DP_OP_193_149_3198
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_193_149_3198   | mult_951_I6 (ViT_top.v:951)                         |
|                      | mult_953_I6 (ViT_top.v:953)                         |
|                      | add_965_I6 (ViT_top.v:965)                          |
|                      | add_967_3_I6 (ViT_top.v:967)                        |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 16    |                                          |
| T181  | IFO  | Signed   | 20    | I1 * I2 ( ViT_top.v:951 ViT_top.v:953 )  |
| O1    | PO   | Signed   | 20    | T181 + I3 ( ViT_top.v:965 ViT_top.v:967 ) |
==============================================================================

Datapath Report for DP_OP_192_148_5953
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_192_148_5953   | mult_951_I5 (ViT_top.v:951)                         |
|                      | mult_953_I5 (ViT_top.v:953)                         |
|                      | add_965_I5 (ViT_top.v:965)                          |
|                      | add_967_3_I5 (ViT_top.v:967)                        |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 16    |                                          |
| T180  | IFO  | Signed   | 20    | I1 * I2 ( ViT_top.v:951 ViT_top.v:953 )  |
| O1    | PO   | Signed   | 20    | T180 + I3 ( ViT_top.v:965 ViT_top.v:967 ) |
==============================================================================

Datapath Report for DP_OP_191_147_5320
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_191_147_5320   | mult_951_I4 (ViT_top.v:951)                         |
|                      | mult_953_I4 (ViT_top.v:953)                         |
|                      | add_965_I4 (ViT_top.v:965)                          |
|                      | add_967_3_I4 (ViT_top.v:967)                        |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 16    |                                          |
| T179  | IFO  | Signed   | 20    | I1 * I2 ( ViT_top.v:951 ViT_top.v:953 )  |
| O1    | PO   | Signed   | 20    | T179 + I3 ( ViT_top.v:965 ViT_top.v:967 ) |
==============================================================================

Datapath Report for DP_OP_190_146_3847
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_190_146_3847   | mult_951_I3 (ViT_top.v:951)                         |
|                      | mult_953_I3 (ViT_top.v:953)                         |
|                      | add_965_I3 (ViT_top.v:965)                          |
|                      | add_967_3_I3 (ViT_top.v:967)                        |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 16    |                                          |
| T178  | IFO  | Signed   | 20    | I1 * I2 ( ViT_top.v:951 ViT_top.v:953 )  |
| O1    | PO   | Signed   | 20    | T178 + I3 ( ViT_top.v:965 ViT_top.v:967 ) |
==============================================================================

Datapath Report for DP_OP_189_145_9777
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_189_145_9777   | mult_951_I2 (ViT_top.v:951)                         |
|                      | mult_953_I2 (ViT_top.v:953)                         |
|                      | add_965_I2 (ViT_top.v:965)                          |
|                      | add_967_3_I2 (ViT_top.v:967)                        |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 16    |                                          |
| T177  | IFO  | Signed   | 20    | I1 * I2 ( ViT_top.v:951 ViT_top.v:953 )  |
| O1    | PO   | Signed   | 20    | T177 + I3 ( ViT_top.v:965 ViT_top.v:967 ) |
==============================================================================

Datapath Report for DP_OP_188_144_443
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_188_144_443    | mult_951 (ViT_top.v:951) mult_953 (ViT_top.v:953)   |
|                      | add_965 (ViT_top.v:965) add_967_3 (ViT_top.v:967)   |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 16    |                                          |
| T176  | IFO  | Signed   | 20    | I1 * I2 ( ViT_top.v:951 ViT_top.v:953 )  |
| O1    | PO   | Signed   | 20    | T176 + I3 ( ViT_top.v:965 ViT_top.v:967 ) |
==============================================================================


Datapath Extraction Report

Information: Operator associated with resources 'sub_702 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10757 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I2 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10758 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I3 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10759 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I4 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10760 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I5 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10761 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I6 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10762 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I7 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10763 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I8 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10764 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I9 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10765 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I10 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10766 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I11 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10767 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I12 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10768 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I13 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10769 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I14 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10770 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I15 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10771 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'sub_702_I16 (ViT_top.v:702)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10772 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10757 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I2 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10758 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I3 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10759 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I4 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10760 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I5 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10761 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I6 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10762 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I7 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10763 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I8 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10764 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I9 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10765 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I10 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10766 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I11 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10767 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I12 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10768 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I13 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10769 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I14 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10770 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I15 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10771 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_709_I16 (ViT_top.v:709)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10772 (ViT_top.v:709)'.  (HDL-120)

Information: Operator associated with resources 'add_900 (ViT_top.v:900) add_902_2 (ViT_top.v:902)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10776 (ViT_top.v:900)'.  (HDL-120)

Information: Operator associated with resources 'add_900_I2 (ViT_top.v:900) add_902_2_I2 (ViT_top.v:902)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10779 (ViT_top.v:900)'.  (HDL-120)

Information: Operator associated with resources 'add_900_I3 (ViT_top.v:900) add_902_2_I3 (ViT_top.v:902)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10782 (ViT_top.v:900)'.  (HDL-120)

Information: Operator associated with resources 'add_900_I4 (ViT_top.v:900) add_902_2_I4 (ViT_top.v:902)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10785 (ViT_top.v:900)'.  (HDL-120)

Information: Operator associated with resources 'add_900_I5 (ViT_top.v:900) add_902_2_I5 (ViT_top.v:902)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10788 (ViT_top.v:900)'.  (HDL-120)

Information: Operator associated with resources 'add_900_I6 (ViT_top.v:900) add_902_2_I6 (ViT_top.v:902)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10791 (ViT_top.v:900)'.  (HDL-120)

Information: Operator associated with resources 'add_900_I7 (ViT_top.v:900) add_902_2_I7 (ViT_top.v:902)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10794 (ViT_top.v:900)'.  (HDL-120)

Information: Operator associated with resources 'add_900_I8 (ViT_top.v:900) add_902_2_I8 (ViT_top.v:902)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on its fanout to operator of resources 'C10797 (ViT_top.v:900)'.  (HDL-120)

Information: Operator associated with resources 'gt_1001 (ViT_top.v:1001)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_983 (ViT_top.v:983)'.  (HDL-120)

Information: Operator associated with resources 'gt_1001_I2 (ViT_top.v:1001)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_983_I2 (ViT_top.v:983)'.  (HDL-120)

Information: Operator associated with resources 'gt_1001_I3 (ViT_top.v:1001)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_983_I3 (ViT_top.v:983)'.  (HDL-120)

Information: Operator associated with resources 'gt_1001_I4 (ViT_top.v:1001)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_983_I4 (ViT_top.v:983)'.  (HDL-120)

Information: Operator associated with resources 'gt_1001_I5 (ViT_top.v:1001)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_983_I5 (ViT_top.v:983)'.  (HDL-120)

Information: Operator associated with resources 'gt_1001_I6 (ViT_top.v:1001)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_983_I6 (ViT_top.v:983)'.  (HDL-120)

Information: Operator associated with resources 'gt_1001_I7 (ViT_top.v:1001)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_983_I7 (ViT_top.v:983)'.  (HDL-120)

Information: Operator associated with resources 'gt_1001_I8 (ViT_top.v:1001)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_983_I8 (ViT_top.v:983)'.  (HDL-120)

Information: Operator associated with resources 'gt_1433 (ViT_top.v:1433)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_1406 (ViT_top.v:1406)'.  (HDL-120)

Information: Operator associated with resources 'gt_1441 (ViT_top.v:1441)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_1407 (ViT_top.v:1407)'.  (HDL-120)

Information: Operator associated with resources 'gt_1449 (ViT_top.v:1449)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_1408 (ViT_top.v:1408)'.  (HDL-120)

Information: Operator associated with resources 'gt_1457 (ViT_top.v:1457)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_1409 (ViT_top.v:1409)'.  (HDL-120)

Information: Operator associated with resources 'gt_1936 (ViT_top.v:1936)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_1916 (ViT_top.v:1916)'.  (HDL-120)

Information: Operator associated with resources 'gt_1936_I2 (ViT_top.v:1936)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_1916_I2 (ViT_top.v:1916)'.  (HDL-120)

Information: Operator associated with resources 'gt_1936_I3 (ViT_top.v:1936)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_1916_I3 (ViT_top.v:1916)'.  (HDL-120)

Information: Operator associated with resources 'gt_1936_I4 (ViT_top.v:1936)' in design 'ViT_top' breaks the datapath extraction because there is leakage due to truncation on the fanout of its driver 'add_1916_I4 (ViT_top.v:1916)'.  (HDL-120)


Implementation Report
===============================================================================
|                    |                  | Current            | Set            |
| Cell               | Module           | Implementation     | Implementation |
===============================================================================
| add_x_10           | DW01_inc         | apparch (area)     |                |
| add_x_12           | DW01_inc         | apparch (area)     |                |
| add_x_14           | DW01_inc         | apparch (area)     |                |
| sub_x_20           | DW01_sub         | pparch (area,speed)                 |
| sub_x_21           | DW01_sub         | pparch (area,speed)                 |
| sub_x_22           | DW01_sub         | pparch (area,speed)                 |
| sub_x_23           | DW01_sub         | pparch (area,speed)                 |
| sub_x_24           | DW01_sub         | pparch (area,speed)                 |
| sub_x_25           | DW01_sub         | pparch (area,speed)                 |
| sub_x_26           | DW01_sub         | pparch (area,speed)                 |
| sub_x_27           | DW01_sub         | pparch (area,speed)                 |
| sub_x_28           | DW01_sub         | pparch (area,speed)                 |
| sub_x_29           | DW01_sub         | pparch (area,speed)                 |
| sub_x_30           | DW01_sub         | pparch (area,speed)                 |
| sub_x_31           | DW01_sub         | pparch (area,speed)                 |
| sub_x_32           | DW01_sub         | pparch (area,speed)                 |
| sub_x_33           | DW01_sub         | pparch (area,speed)                 |
| sub_x_34           | DW01_sub         | pparch (area,speed)                 |
| sub_x_35           | DW01_sub         | pparch (area,speed)                 |
| add_x_36           | DW01_inc         | apparch (area)     |                |
| add_x_37           | DW01_inc         | apparch (area)     |                |
| add_x_38           | DW01_inc         | apparch (area)     |                |
| add_x_39           | DW01_inc         | apparch (area)     |                |
